Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
1,93,127,34,132,39,5,160,67,33,28,7,76,83492,Palo Alto,TRUE,35.8,0,1.37,0
3,84,90,6,109,25,19,147,63,57,38,7,19,33920,Palo Alto,TRUE,176.43,0,22.68,12.68
6,59,73,14,103,44,30,121,62,49,18,7,221,13499,Mountain View,TRUE,33.93,0,1.28,0
8,1116,1132,16,1175,59,43,1187,71,55,12,7,361,43732,Mountain View,TRUE,25.79,0,2.73,0
15,169,169,1,198,29,28,248,79,79,51,24,211,5804,Palo Alto,TRUE,129.94,0,5.42,0
19,75,111,37,0,-75,-111,142,68,31,142,24,12,10756,Palo Alto,TRUE,47.33,0,5,0
32,24,46,22,88,64,43,100,76,54,12,24,216,2079,Mountain View,TRUE,29.87,0,1.09,0
33,41,60,20,105,65,45,123,83,63,18,24,30,12507,Mountain View,TRUE,84.08,0,3,0
37,31,76,46,0,-31,-76,126,95,49,126,24,105,20098,Palo Alto,FALSE,128.09,0,5.33,0
40,176,184,8,215,39,32,239,63,55,23,24,84,97556,Palo Alto,TRUE,203.67,0,26.43,0
42,69,130,61,135,66,5,160,92,31,26,24,264,2508,Palo Alto,TRUE,54.88,0,4.49,0
52,146,154,8,0,-146,-154,208,62,53,208,24,10,193420,Palo Alto,TRUE,62.98,6,0,0
53,44,75,31,92,48,16,110,66,35,18,24,5,194777,Palo Alto,TRUE,69.56,6,3.48,0
66,188,196,8,0,-188,-196,252,64,56,252,29,211,22183,Palo Alto,TRUE,35.63,0,1.36,0
72,108,109,1,162,54,53,173,65,64,11,29,107,7982,Palo Alto,TRUE,31.45,0,3.15,0
74,125,133,8,154,28,21,188,63,55,35,29,109,1639,Palo Alto,TRUE,167.32,0,7.14,0
77,158,170,12,0,-158,-170,221,63,51,221,29,9,61941,Palo Alto,TRUE,39.17,0,1.96,0
78,171,194,23,219,48,25,235,64,41,16,29,7,12556,Palo Alto,TRUE,42.27,0,3.33,0
87,100,115,15,0,-100,-115,180,81,65,180,29,241,2768,Palo Alto,TRUE,45.12,0,1.79,0
93,50,93,43,0,-50,-93,125,75,32,125,29,324,3191,Palo Alto,FALSE,61.9,0,7.71,0
96,79,130,51,0,-79,-130,171,92,40,171,29,28,4283,Palo Alto,FALSE,24.98,0,0.87,0
102,97,115,18,134,37,19,163,66,48,29,29,76,5379,Palo Alto,TRUE,38.52,0,4,0
105,134,141,8,148,15,7,198,64,57,49,29,53,14,Palo Alto,TRUE,52.71,0,4.29,0
112,79,97,18,0,-79,-97,147,68,50,147,29,232,5782,Palo Alto,TRUE,48.85,0,5.91,0
115,38,66,28,114,76,48,126,88,60,12,29,8,2347,Palo Alto,FALSE,36.88,0,2.84,0
119,79,92,13,0,-79,-92,146,67,54,146,29,97,8857,Palo Alto,TRUE,43.14,0,1.7,0
120,1082,1130,48,1146,64,16,1164,82,34,18,29,19,35116,Palo Alto,FALSE,34.27,0,2,0
132,133,159,26,163,30,5,200,67,41,37,29,91,4060,Palo Alto,TRUE,46.67,0,2.33,0
135,1023,1089,66,1115,92,26,1134,111,45,19,29,9,18376,Palo Alto,FALSE,73.97,0,6.25,0
138,33,60,27,86,54,27,106,74,46,20,29,70,19789,Palo Alto,FALSE,28.35,0,2.05,0
141,63,103,40,123,60,20,135,71,31,11,29,211,2776,Palo Alto,TRUE,31.56,0,1.17,0
144,104,122,18,156,52,35,169,65,47,12,29,45,7571,Palo Alto,TRUE,58.58,0,2.93,0
172,19,20,1,90,71,70,102,83,82,11,34,20,317,Palo Alto,FALSE,15.73,0,0.89,0
176,999,1049,50,0,-999,-1049,1110,111,61,1110,34,83,10294,None,FALSE,204.98,0,20,9.73
178,1135,1168,33,1175,40,7,1200,65,32,25,34,12,13493,Palo Alto,TRUE,15.24,0,0.76,0
180,335,0,-335,0,-335,0,1126,790,1126,1126,34,11,88854,None,FALSE,401.17,0,0,0
181,965,1068,103,1085,120,17,1126,161,58,41,34,9,10294,None,FALSE,99.42,0,10,0
183,970,1108,137,0,-970,-1108,1160,190,53,1160,34,106,10294,None,FALSE,199.54,0,20,0
186,1032,1074,42,1125,94,52,1142,111,69,17,34,9,552,Palo Alto,FALSE,126.08,0,5.24,0
187,1045,1095,50,1144,98,49,1164,119,69,21,34,107,1234,Palo Alto,FALSE,73.86,0,3.12,0
195,81,89,8,109,28,20,142,61,53,33,34,8,58385,Palo Alto,TRUE,41.18,0,1.61,0
197,962,1050,87,0,-962,-1050,1125,163,76,1125,34,83,10294,None,FALSE,199.43,0,20,0
201,82,94,12,134,52,40,150,68,56,16,34,20,13263,Palo Alto,TRUE,39.55,0,1.54,0
205,453,0,-453,0,-453,0,1104,651,1104,1104,34,11,87244,Palo Alto,FALSE,703.83,0,12.79,0
212,968,1114,146,1127,159,13,1166,198,52,39,34,200,10294,None,FALSE,81.96,0,8,0
214,1018,1112,94,1138,119,26,1156,138,44,19,34,62,8076,Palo Alto,FALSE,470.33,0,10,0
215,1055,1064,8,1142,86,78,1156,101,92,14,34,27,929,Palo Alto,FALSE,217.52,0,9.45,0
221,1036,1158,122,1170,134,13,1187,151,29,17,34,114,1103,Palo Alto,FALSE,37.48,0,1.44,0
222,57,91,34,0,-57,-91,123,66,32,123,34,100,1190,Palo Alto,TRUE,68.43,0,2.87,0
224,17,113,96,101,84,-12,137,120,25,37,34,240,5709,Palo Alto,FALSE,46.62,0,5.6,0
235,219,0,-219,1079,860,1079,1123,904,1123,44,34,11,113424,Palo Alto,FALSE,309.4,0,0,0
236,336,0,-336,0,-336,0,1120,784,1120,1120,34,11,79146,None,FALSE,673.75,0,0,0
237,1134,1163,29,1194,61,31,1228,94,65,34,34,19,6710,Palo Alto,TRUE,48.3,0,1.94,0
245,972,1034,62,1103,130,68,1131,159,97,29,34,312,10294,None,FALSE,111.18,0,10,0
247,203,0,-203,0,-203,0,1412,1210,1412,1412,34,11,113389,Palo Alto,FALSE,343.32,0,50,0
248,1023,1035,12,0,-1023,-1035,1120,97,85,1120,34,9,11148,Palo Alto,FALSE,114.64,0,6,0
249,177,195,18,212,34,16,246,69,51,34,34,211,7858,Palo Alto,TRUE,28.29,0,3.07,0
252,962,1051,89,1087,125,36,1120,158,69,33,34,213,10294,None,FALSE,88.87,0,8,0
257,3,10,7,0,-3,-10,111,108,101,111,34,221,3392,Palo Alto,FALSE,520.95,0,23.4,0
258,1078,1115,37,1159,81,44,1187,109,72,28,34,114,75022,Palo Alto,FALSE,92.51,0,11.93,24.35
259,1273,1406,132,1416,143,10,1431,158,25,15,34,9,8704,Palo Alto,FALSE,34.22,0,1.71,0
262,1145,1166,21,1179,35,14,1215,70,50,36,34,268,2999,Palo Alto,TRUE,89.41,0,7.67,0
265,479,0,-479,0,-479,0,1110,631,1110,1110,34,11,77550,Mountain View,FALSE,242.91,0,0,0
271,971,1074,103,0,-971,-1074,1159,189,85,1159,34,63,10294,None,FALSE,343.19,0,30,0
274,1047,1049,2,1067,20,19,1116,69,67,49,34,114,28879,Palo Alto,FALSE,143.49,0,0,0
278,1041,1069,28,1135,94,66,1147,107,79,12,34,8,2231,Palo Alto,FALSE,18.45,0,2,0
280,1084,1091,7,1143,59,52,1164,80,73,21,34,8,5107,Palo Alto,FALSE,46.24,0,3.7,0
281,370,0,-370,0,-370,0,1108,738,1108,1108,34,11,199819,Mountain View,FALSE,1024.2,0,0,0
283,965,1037,72,1135,170,98,1177,211,139,42,34,107,10294,None,FALSE,155.27,0,10,0
286,55,61,6,80,25,19,122,67,61,42,34,105,12871,Palo Alto,TRUE,192.63,0,8.3,0
292,83,149,66,0,-83,-149,192,109,43,192,36,345,20250,San Jose,FALSE,32.54,0,3.25,0
295,166,188,22,0,-166,-188,237,70,49,237,36,309,79513,San Jose,TRUE,27.96,0,1.4,0
300,148,161,13,174,26,13,209,61,48,35,36,139,55074,San Jose,TRUE,102.19,0,10.22,0
305,376,0,-376,0,-376,0,1155,779,1155,1155,36,15,60669,San Jose,FALSE,165,0,0,0
319,1018,1122,104,1129,112,7,1163,145,41,33,36,181,106349,San Jose,FALSE,68.48,6,0,0
326,993,1093,100,1105,112,12,1122,129,29,17,36,223,26776,San Jose,FALSE,46.07,0,1.84,0
328,162,175,13,182,19,7,231,68,56,49,36,271,12400,San Jose,TRUE,38.59,0,5.79,0
329,1114,1119,5,1190,76,71,1202,89,83,13,36,267,6873,San Jose,TRUE,17.96,0,0.9,18.86
350,46,62,16,91,45,30,107,61,46,16,36,143,109928,San Jose,TRUE,34.82,6,3.48,0
358,97,141,45,172,75,31,185,88,43,13,36,139,41101,San Jose,FALSE,55.81,0,5.58,0
360,89,124,35,151,62,27,165,76,41,14,36,139,96724,San Jose,FALSE,14.59,0,0.73,0
361,109,146,37,0,-109,-146,175,66,29,175,36,256,11101,San Jose,TRUE,74.89,0,5,0
378,1076,1111,35,0,-1076,-1111,1148,72,37,1148,36,298,61321,San Jose,FALSE,45.62,0,2.28,0
379,40,61,21,88,48,28,112,72,51,23,36,337,84877,San Jose,TRUE,81.26,0,6.92,0
380,100,113,13,130,30,17,164,64,50,33,36,281,70205,San Jose,TRUE,37.5,0,4.33,0
394,177,191,14,0,-177,-191,240,63,49,240,36,281,14474,San Jose,TRUE,61.97,0,7.7,1.62
397,51,70,19,112,61,42,129,78,59,17,36,126,57966,San Jose,FALSE,149.03,0,14.9,31.54
398,122,141,19,205,84,65,220,98,79,14,36,183,13606,San Jose,TRUE,40.77,0,6.12,46.89
403,141,163,21,0,-141,-163,207,66,44,207,36,301,13094,San Jose,TRUE,40.58,0,6.09,0
404,77,106,29,0,-77,-106,179,101,72,179,36,297,14768,San Jose,TRUE,60.99,0,5.04,0
413,2,116,114,0,-2,-116,185,183,69,185,36,333,96787,San Jose,FALSE,46.56,6,1.86,0
415,144,161,17,175,31,15,213,69,53,38,36,170,43627,San Jose,TRUE,56.9,6,2.34,0
429,19,36,17,63,44,27,83,64,46,19,36,276,47850,San Jose,TRUE,40.77,0,6.12,0
437,127,139,12,0,-127,-139,192,65,53,192,36,183,78826,San Jose,TRUE,69.02,0,2.89,0
451,108,126,19,141,33,14,197,89,70,56,36,296,92153,San Jose,TRUE,49.22,0,1.98,34.02
456,190,215,25,246,57,31,261,72,46,15,36,320,110001,San Jose,TRUE,35.74,6,1.36,0
460,87,124,37,152,66,29,166,80,43,14,36,277,67011,San Jose,TRUE,65.9,0,3.3,0
463,178,200,22,0,-178,-200,243,65,43,243,36,307,12153,San Jose,TRUE,60.47,0,4.99,0
466,208,214,6,274,66,60,294,86,80,20,36,169,58941,San Jose,TRUE,34.76,0,1.32,0
468,191,208,17,0,-191,-208,256,65,48,256,36,303,13958,San Jose,TRUE,129.45,0,6.47,0
471,1049,1119,70,0,-1049,-1119,1153,104,34,1153,36,157,63437,San Jose,FALSE,22.86,0,2.32,0
473,916,1118,202,0,-916,-1118,1149,233,31,1149,36,72,2250,Palo Alto,FALSE,16.36,0,1.42,0
475,1044,1088,44,0,-1044,-1088,1127,83,38,1127,36,158,11053,San Jose,FALSE,16.55,0,3,0
477,5,30,25,59,54,29,88,83,58,29,36,325,196809,San Jose,FALSE,27.15,6,1.36,0
479,196,238,42,251,55,13,258,62,20,6,36,194,83934,San Jose,TRUE,22.31,6,2.25,0
482,226,262,36,0,-226,-262,297,71,35,297,36,320,98614,San Jose,TRUE,42.27,0,1.66,0
488,83,111,29,127,44,15,147,64,35,20,36,303,110053,San Jose,TRUE,35.98,6,2.75,0
490,22,25,2,0,-22,-25,91,69,66,91,36,300,13488,San Jose,TRUE,47.25,0,7.09,0
499,84,112,28,129,45,17,146,62,35,18,36,326,69939,San Jose,TRUE,47.86,5,5.76,0
511,1019,1057,38,1115,97,58,1132,113,75,17,41,68,52243,Palo Alto,FALSE,19.05,0,1.2,0
512,117,137,20,140,23,3,202,85,66,62,41,106,1160,Palo Alto,TRUE,21.21,0,0.69,0
513,1054,1107,53,1128,75,22,1147,94,41,19,41,47,101628,Palo Alto,FALSE,20.68,0,0.67,0
516,1046,1049,4,1121,75,71,1132,86,82,11,41,8,6245,Palo Alto,FALSE,136.62,0,5.73,0
522,1050,1102,52,1128,78,26,1169,119,67,41,41,76,54159,Palo Alto,FALSE,17.42,6,1.05,0
523,44,47,3,93,48,46,109,65,62,17,41,205,65433,Palo Alto,TRUE,135.81,0,20,0
525,32,41,9,76,44,35,103,71,62,27,41,76,7418,Palo Alto,TRUE,92.57,0,9.26,11.91
528,1074,1076,1,1135,61,60,1164,90,89,29,41,9,28366,Palo Alto,FALSE,226.08,0,9.84,0
530,1147,1154,7,1194,47,40,1209,62,55,15,41,107,10557,Palo Alto,FALSE,24.98,0,3,0
531,919,1121,202,0,-919,-1121,1149,229,28,1149,41,5,2985,Palo Alto,FALSE,55.48,0,8.32,0
532,349,1064,715,1110,761,46,1142,793,78,32,41,15,197597,Palo Alto,FALSE,86.04,6,12,0
533,101,119,18,131,31,13,175,75,57,44,41,324,36826,Palo Alto,TRUE,38.03,0,4.41,0
535,1055,1088,34,1128,74,40,1141,86,52,12,41,312,4087,Palo Alto,FALSE,47.98,0,1.92,0
537,1002,1072,70,1110,109,39,1129,128,58,19,41,8,2231,Palo Alto,FALSE,18.45,0,2,0
538,1068,1078,10,1160,92,82,1176,108,98,16,41,68,929,Palo Alto,FALSE,409.68,0,18.28,0
541,16,59,42,89,73,30,131,115,73,42,41,84,13508,Palo Alto,FALSE,88.43,0,3.79,0
544,1093,1106,13,1133,40,27,1162,69,56,30,41,124,4087,Palo Alto,FALSE,36.72,0,1.41,0
545,1088,1155,67,1187,99,32,1205,118,51,19,41,63,2931,Palo Alto,FALSE,43.36,0,5.15,0
546,1084,1120,37,0,-1084,-1120,1172,89,52,1172,41,124,39293,Palo Alto,FALSE,35.36,0,1.35,0
547,1138,1151,12,1158,19,7,1205,67,54,47,41,120,8092,Palo Alto,TRUE,30.9,0,0,0
551,163,168,5,0,-163,-168,235,72,67,235,41,48,10034,Palo Alto,TRUE,34.17,5,1.29,0
552,36,82,46,97,61,15,127,91,45,31,41,59,4087,Palo Alto,FALSE,49.98,0,2.02,0
553,59,128,70,0,-59,-128,166,107,38,166,41,53,11677,Palo Alto,FALSE,45.04,0,2.25,0
554,1059,1089,30,1117,58,28,1156,97,68,39,41,84,2999,Palo Alto,FALSE,267.07,0,23.45,0
555,1102,1150,48,1158,56,8,1201,100,51,43,41,105,8205,Palo Alto,FALSE,27.1,0,0.97,0
556,1047,1105,59,1115,68,9,1135,89,30,21,41,12,14296,Palo Alto,FALSE,65.65,0,5.48,0
557,57,62,5,110,53,48,133,77,72,23,41,76,71801,Palo Alto,TRUE,27.1,0,2.91,0
558,1038,1046,8,1094,56,48,1105,66,58,11,41,8,8145,Palo Alto,FALSE,36.88,0,2.84,0
560,94,103,9,0,-94,-103,167,72,64,167,41,211,63928,Palo Alto,TRUE,85.33,0,7.29,0
562,1101,1144,43,1153,52,9,1179,79,36,26,41,106,1934,Palo Alto,FALSE,70.64,0,5.93,0
563,112,115,2,126,14,12,178,65,63,51,41,211,11534,Palo Alto,TRUE,29.27,0,4.39,0
564,111,130,19,0,-111,-130,174,63,43,174,41,107,1505,Palo Alto,TRUE,21.17,0,1.06,0
570,1133,1137,4,1148,15,10,1197,64,60,49,41,15,8709,Palo Alto,TRUE,19.49,0,0.62,0
571,1142,1142,0,0,-1142,-1142,1204,63,63,1204,41,15,13867,Palo Alto,TRUE,33.62,0,3.81,0
572,1114,1116,1,1168,54,53,1190,76,75,22,41,68,7396,Palo Alto,TRUE,76.85,0,3.84,0
575,1067,1076,9,1114,47,38,1131,64,55,17,41,8,899,Palo Alto,FALSE,101.86,0,13.22,0
576,134,136,2,194,60,58,221,87,84,27,41,63,4497,Palo Alto,TRUE,154.25,0,23.14,0
577,1050,1098,48,1107,57,9,1126,76,28,19,41,12,3009,Palo Alto,FALSE,75.43,0,3.19,0
581,81,120,39,129,48,9,182,101,62,53,41,25,62094,Palo Alto,TRUE,36.94,0,3,39.94
582,1022,1039,17,1104,83,66,1137,115,98,32,41,8,14519,Palo Alto,FALSE,39.71,0,5.96,0
586,96,126,30,126,29,0,169,73,43,43,41,350,12987,Palo Alto,TRUE,32.86,0,2.47,0
587,45,46,1,0,-45,-46,117,72,71,117,41,264,100568,Palo Alto,TRUE,40.26,6,1.57,0
591,1123,1127,4,1186,63,59,1210,86,83,23,41,107,77988,Palo Alto,FALSE,151.74,6,12.85,0
599,1062,1070,9,1127,66,57,1137,75,66,10,41,8,3009,Palo Alto,FALSE,77.07,0,3.26,0
600,104,136,33,0,-104,-136,189,85,52,189,41,100,6903,Palo Alto,TRUE,128.2,0,10.68,0
602,1083,1132,48,1152,68,20,1165,82,34,13,41,351,3772,Palo Alto,FALSE,42.02,0,4.95,0
604,107,124,17,0,-107,-124,182,76,59,182,41,28,717,Palo Alto,TRUE,36.29,0,2.78,0
608,936,1059,123,1112,176,53,1143,206,83,30,41,268,67988,Palo Alto,FALSE,85.06,0,3.63,0
615,155,173,18,0,-155,-173,242,87,69,242,41,48,193445,Palo Alto,TRUE,49.5,6,2,0
619,45,49,4,0,-45,-49,109,64,60,109,41,83,14043,Palo Alto,TRUE,113.93,0,4.96,0
621,55,76,21,94,38,17,132,76,55,38,41,107,4010,Palo Alto,TRUE,78.7,0,3.34,0
625,1031,1031,1,1107,76,76,1118,87,87,11,41,8,6245,Palo Alto,FALSE,78.76,0,3.34,0
627,1121,1191,69,1167,46,-24,1221,100,30,54,41,8,4187,Palo Alto,TRUE,46.08,0,3.68,6
643,14,43,29,79,65,36,110,97,68,31,41,10,14043,Palo Alto,FALSE,107.95,0,4.68,0
646,60,64,3,79,18,15,136,76,72,58,41,19,546,Palo Alto,TRUE,32.1,0,4.82,0
649,1055,1058,4,1129,75,71,1149,94,90,20,41,20,62969,Palo Alto,FALSE,92.19,0,3.63,0
650,1040,1052,12,1090,50,38,1114,74,62,24,41,114,28879,Palo Alto,FALSE,145.66,0,0,0
671,1014,1083,68,1121,107,39,1132,118,50,11,43,28,14689,Palo Alto,FALSE,156.91,0,6.66,0
675,1064,1064,0,1115,51,51,1149,85,85,34,43,8,12030,Palo Alto,FALSE,318.51,0,13.14,0
683,955,1038,84,0,-955,-1038,1123,169,85,1123,43,9,11148,Palo Alto,FALSE,153.65,0,6.51,0
703,149,166,18,174,25,8,220,71,54,46,43,268,2175,Palo Alto,TRUE,38.52,0,1.93,0
716,1198,1199,1,1217,18,17,1265,67,66,48,43,86,514,Palo Alto,TRUE,152.36,152.36,15,0
723,1050,1051,1,1110,60,59,1121,71,69,10,43,8,13018,Palo Alto,FALSE,102.14,0,3.92,10.82
730,101,120,18,170,69,50,184,82,64,13,43,106,1806,Palo Alto,TRUE,40.77,0,4.08,0
735,1080,1138,58,1155,74,17,1169,88,31,14,43,106,1934,Palo Alto,FALSE,76.14,0,6.43,0
737,1118,1151,33,1154,36,4,1202,84,51,47,43,8,66360,Palo Alto,TRUE,77.56,6,3.29,0
739,1023,1160,136,1183,160,24,1191,168,31,8,43,27,106572,Palo Alto,FALSE,103.33,6,4.47,0
741,1108,1141,33,0,-1108,-1141,1189,80,47,1189,43,15,4070,Palo Alto,TRUE,15.24,0,0,0
755,1099,1119,19,1188,89,70,1222,123,103,33,43,68,88400,Palo Alto,FALSE,172.24,0,14.73,0
761,1060,1105,44,1110,50,6,1136,75,31,25,43,8,52449,Palo Alto,FALSE,71.03,0,2.99,0
766,164,178,15,212,48,33,225,62,47,14,43,211,444,Palo Alto,TRUE,36.72,0,1.84,0
768,1110,1124,14,1170,60,46,1205,95,81,35,43,84,402,Palo Alto,TRUE,28.73,0,3.13,0
774,1081,1104,23,1129,47,25,1155,74,51,27,43,64,1061,Palo Alto,FALSE,90.06,0,4.5,0
781,1082,1085,3,0,-1082,-1085,1153,70,68,1153,43,8,13018,Palo Alto,FALSE,104.42,0,4.52,0
782,104,110,6,130,26,20,166,62,56,36,43,27,98795,Palo Alto,TRUE,47.33,6,1.9,0
785,68,70,1,79,11,10,133,65,64,54,43,6,991,Palo Alto,TRUE,86.91,0,10,0
786,1073,1078,5,0,-1073,-1078,1146,72,67,1146,43,8,899,Palo Alto,FALSE,90.61,0,7.78,0
793,1317,1396,80,0,-1317,-1396,1433,116,36,1433,43,124,112700,Palo Alto,FALSE,16.88,6,2.53,0
797,1051,1108,57,1134,83,26,1148,97,40,14,43,9,10305,Palo Alto,FALSE,22.8,0,1.14,0
798,44,47,3,0,-44,-47,105,61,58,105,43,28,22580,Palo Alto,TRUE,73.15,0,3.66,0
804,1081,1137,57,1148,67,11,1172,91,34,24,43,5,594,Palo Alto,FALSE,78.86,0,3.35,0
811,1170,1203,33,1218,48,15,1254,83,50,35,43,47,2931,Palo Alto,FALSE,41.83,0,4.94,0
814,429,1098,670,1105,676,7,1151,723,53,46,43,20,3424,Palo Alto,FALSE,50.91,0,2.06,0
816,1162,1223,61,1240,77,17,1260,98,37,20,43,9,4990,Palo Alto,FALSE,21.71,0,0.72,0
824,1044,204,-840,1090,46,886,1123,79,919,33,43,14,68236,Palo Alto,FALSE,333.9,0,44.4,0
827,1171,1193,22,1198,27,5,1241,71,49,43,43,19,17395,Palo Alto,TRUE,44.06,0,1.75,0
837,66,116,50,0,-66,-116,156,90,40,156,43,124,199125,Palo Alto,FALSE,15.24,6,0.42,0
839,1046,1103,57,1121,75,18,1137,91,34,16,43,12,14296,Palo Alto,FALSE,55.21,0,2.71,9.73
847,1259,1289,30,1330,71,41,1341,82,53,12,48,70,5114,Palo Alto,TRUE,53.09,0,2.65,0
849,981,1088,107,1131,150,43,1157,176,69,26,48,200,10294,None,FALSE,45.58,0,4,0
850,1121,1144,23,1170,49,26,1201,79,57,31,48,15,4096,Palo Alto,TRUE,77.23,0,9.82,0
851,1021,1099,78,1159,139,60,1193,172,94,34,48,76,59776,Palo Alto,FALSE,183.28,0,7.87,0
854,70,251,182,1089,1019,838,1126,1056,874,37,48,10,105568,Palo Alto,FALSE,585.98,6,79.17,0
861,1023,1067,44,1093,70,26,1113,91,46,20,48,63,4429,Palo Alto,TRUE,109.1,0,9.48,0
863,1022,1036,14,1115,92,79,1136,114,100,21,48,20,14296,Palo Alto,FALSE,97.51,0,7.32,11.91
866,1154,1181,27,0,-1154,-1181,1223,69,42,1223,48,233,11945,Palo Alto,TRUE,49.16,0,7.37,0
867,354,0,-354,1055,701,1055,1091,737,1091,36,48,11,197628,Palo Alto,FALSE,476,0,5,0
871,934,1030,96,0,-934,-1030,1115,182,85,1115,48,9,77803,Palo Alto,FALSE,131.95,0,5.51,0
873,38,40,3,86,48,46,100,62,60,14,48,342,36702,Palo Alto,TRUE,18.94,0,1.78,0
879,34,56,22,83,48,26,105,71,49,23,48,114,7418,Palo Alto,TRUE,52.49,0,7.87,0
882,1013,1133,120,0,-1013,-1133,1172,159,39,1172,48,72,1796,Palo Alto,FALSE,125.31,0,15.59,0
883,1007,1071,64,1117,110,46,1151,144,80,34,48,268,8076,Palo Alto,FALSE,366.14,0,10,0
898,131,145,14,170,38,25,193,62,49,24,48,20,7354,Palo Alto,TRUE,24.16,0,0.83,0
899,7,54,47,95,88,41,105,97,51,9,48,28,1321,Palo Alto,FALSE,50.37,0,2.52,0
905,1287,1335,48,1336,49,0,1365,78,29,29,48,233,15607,Palo Alto,TRUE,24.31,0,2.52,0
908,950,1104,154,1115,165,12,1141,191,38,26,48,9,14043,Palo Alto,FALSE,101.1,0,5.06,0
911,1122,1127,4,0,-1122,-1127,1188,66,62,1188,48,9,4990,Palo Alto,TRUE,21.71,0,0.72,0
913,1142,1208,66,1224,83,17,1247,106,40,23,48,79,11155,Palo Alto,FALSE,37.56,0,1.44,0
916,1043,1044,1,1088,45,44,1108,66,65,21,48,9,5999,Palo Alto,FALSE,78.32,0,3.32,0
919,1112,1124,12,1138,26,14,1196,84,72,58,48,89,760,Palo Alto,TRUE,61.84,0,3.09,0
926,1027,1080,53,1116,89,37,1126,99,47,10,48,20,9500,Palo Alto,FALSE,33.67,0,1.68,0
927,1048,1069,21,1101,53,32,1124,76,55,23,48,20,8205,Palo Alto,FALSE,26.33,0,2.8,0
933,966,1029,63,1089,124,61,1112,146,83,22,48,9,11148,Palo Alto,FALSE,162.89,0,6.93,0
936,1133,1160,27,1174,41,14,1198,65,38,24,48,264,155913,Palo Alto,TRUE,28.29,6,3.07,0
949,1124,1132,8,1152,28,21,1187,63,56,35,48,9,75022,Palo Alto,TRUE,109.04,6,14.21,0
952,1035,1053,17,0,-1035,-1053,1141,105,88,1141,48,8,44564,Palo Alto,FALSE,27.75,0,3,0
953,1112,1114,1,1167,55,53,1179,66,65,12,48,68,1494,Palo Alto,TRUE,25.03,0,0.87,0
954,1036,1049,12,0,-1036,-1049,1124,87,75,1124,48,8,13018,Palo Alto,FALSE,158.6,0,6.74,0
956,1105,1160,54,1162,57,3,1195,90,36,33,48,27,101565,Palo Alto,FALSE,15.73,6,0.44,0
958,1040,1043,3,1083,43,40,1106,65,62,23,48,9,8574,Palo Alto,FALSE,188.56,0,8.11,0
959,476,0,-476,0,-476,0,1127,651,1127,1127,48,11,68742,Mountain View,FALSE,343.28,0,20,0
964,1043,1043,0,1104,61,61,1119,76,76,16,48,8,1545,Palo Alto,FALSE,54.34,0,4.44,0
967,1022,1034,13,1095,73,61,1158,136,124,63,48,211,1173,Palo Alto,FALSE,414.92,0,18.52,0
968,92,120,28,0,-92,-120,164,72,44,164,48,53,109936,Palo Alto,TRUE,141.3,6,7.07,0
972,1057,1093,36,1109,52,16,1127,70,33,18,48,3,75896,Palo Alto,FALSE,40.09,6,3.13,0
984,1045,1083,38,1089,43,5,1133,87,49,44,48,66,3702,Palo Alto,FALSE,43.79,0,5.21,0
987,27,62,35,90,63,28,125,98,63,36,48,19,42869,Palo Alto,FALSE,72.12,0,9.12,0
990,1218,1220,2,0,-1218,-1220,1279,62,60,1279,48,15,11534,Palo Alto,TRUE,35.69,0,5.35,0
994,122,144,22,152,30,8,183,61,39,31,48,104,10512,Palo Alto,TRUE,32.1,0,0,0
998,1047,1069,22,0,-1047,-1069,1109,62,41,1109,48,9,6317,Palo Alto,FALSE,42.92,0,1.69,0
1002,1056,1087,31,1143,87,56,1165,109,78,22,48,312,13047,Palo Alto,FALSE,15.81,6,0,0
1003,228,0,-228,1047,819,1047,1108,880,1108,60,48,11,99165,Palo Alto,FALSE,427.51,0,0,0
1007,1092,1110,17,1144,52,35,1161,69,51,17,48,207,4484,Palo Alto,FALSE,75.49,0,9.58,0
1008,1142,1171,29,0,-1142,-1171,1206,64,35,1206,48,9,89419,Palo Alto,TRUE,17.42,6,1.57,0
1011,1120,1141,21,1160,40,19,1193,73,52,33,48,89,3288,Palo Alto,TRUE,15.24,0,2.29,0
1019,997,1054,57,1106,109,52,1126,128,71,19,48,8,4484,Palo Alto,FALSE,106.87,0,13.91,0
1027,1185,1190,5,0,-1185,-1190,1288,103,98,1288,48,241,684,Palo Alto,TRUE,41.81,0,3.29,0
1034,1093,1100,6,1148,55,49,1160,67,60,12,48,84,1715,Palo Alto,FALSE,64.89,0,8.12,0
1036,1115,1117,2,1159,44,42,1176,61,59,17,48,10,89383,Palo Alto,TRUE,23.94,6,0,0
1038,1205,1225,19,0,-1205,-1225,1315,109,90,1315,48,241,11802,Mountain View,TRUE,25.54,6,0.89,20.43
1039,1082,1114,32,1149,67,35,1164,83,51,15,48,3,929,Palo Alto,FALSE,139.55,0,5.86,0
