Entry,Customer Placed Order Time(min),Placed Order with Restaurant Time(min),OPtoORTime(min)Delta,Driver at Restaurant Time(min),DRfmOPTime(min) Delta,DRfmORTime(min) Delta,Delivered to Customer Time(min),OCfmOPTime(min) Delta,OCfmORTime(min) Delta,OCfmDRTime(min) Delta,Driver ID,Restaurant ID,Consumer ID,Delivery Region,Is ASAP,Order total,Amount of discount,Amount of tip,Refunded amount
14973,969,1122,153,1154,186,33,1204,235,82,50,334,109,13019,Mountain View,FALSE,110.32,0,14.38,0
14987,204,205,0,219,15,15,292,87,87,72,334,170,59600,San Jose,TRUE,49.99,0,4.04,0
14990,1046,1051,5,1085,39,34,1125,79,74,40,334,15,550,Mountain View,FALSE,125.12,0,5.75,0
14994,90,94,3,107,17,13,154,64,61,48,334,309,10889,San Jose,TRUE,22.75,6,2.3,0
14997,155,158,3,174,19,16,222,67,64,48,334,158,18636,San Jose,TRUE,16.82,0,1.49,0
14999,1020,1127,106,1160,140,34,1233,213,106,73,334,303,11039,San Jose,FALSE,25.46,6,0.89,0
15022,254,254,0,328,74,74,346,92,92,18,334,271,110139,San Jose,TRUE,39.68,6,4.63,0
15023,1113,1131,18,1165,52,33,1183,69,51,18,334,222,96423,San Jose,TRUE,20.66,0,3.1,0
15028,1104,1108,4,1122,18,14,1255,151,147,133,334,158,13847,San Jose,TRUE,26.28,0,0.93,0
15031,1187,1193,6,1206,19,14,1254,67,62,48,334,255,98121,San Jose,TRUE,17.91,6,2.69,0
15036,158,226,68,200,42,-26,247,89,21,47,334,352,12663,San Jose,TRUE,34.82,0,2.65,0
15040,1181,1185,4,1204,23,20,1245,63,60,40,334,263,14076,San Jose,TRUE,23.29,0,3.49,0
15041,178,197,18,0,-178,-197,241,63,45,241,334,322,97442,San Jose,TRUE,38.1,6,5,0
15048,1110,1128,18,1159,49,31,1187,76,58,28,334,135,104395,San Jose,TRUE,79.46,0,3.37,9.37
15054,79,108,29,135,56,27,169,90,61,34,334,190,97077,San Jose,TRUE,20.14,6,7,0
15060,153,153,0,184,31,31,244,91,91,61,334,169,71100,San Jose,TRUE,41.56,0,2.08,0
15062,1165,1175,10,1183,18,8,1238,72,62,54,334,201,12162,San Jose,TRUE,28.07,0,3.04,0
15064,1056,1133,77,1152,95,18,1171,115,38,19,334,87,4092,Mountain View,FALSE,33.18,0,1.25,0
15071,43,64,20,83,40,20,130,87,67,47,334,183,191247,San Jose,TRUE,29.9,6,1.09,0
15076,101,110,9,122,20,11,164,62,53,42,334,190,16548,San Jose,TRUE,35.74,0,3,0
15079,93,115,22,148,55,33,169,76,54,21,334,352,10486,San Jose,TRUE,41.67,0,5,0
15095,137,157,20,176,38,19,202,65,45,26,335,278,79259,San Jose,TRUE,55,0,6.74,0
15103,152,174,23,186,34,11,214,62,39,28,336,194,13920,San Jose,TRUE,48.41,0,5,0
15110,57,66,9,97,40,31,126,69,60,29,336,170,58191,San Jose,TRUE,23.29,0,0.79,0
15111,90,94,4,130,39,36,172,82,78,42,336,143,61333,San Jose,TRUE,110.94,0,16.64,0
15121,135,137,3,197,62,59,216,82,79,20,336,170,26776,San Jose,TRUE,22.26,0,1.11,0
15128,127,151,24,166,39,15,199,72,48,33,336,317,71514,San Jose,TRUE,50.42,6,2.52,0
15142,101,120,19,148,47,28,167,66,46,18,336,271,11101,San Jose,TRUE,59.74,0,5.97,0
15152,84,111,27,129,45,18,153,68,41,23,336,320,56277,San Jose,TRUE,38.19,6,1.91,0
15158,106,114,8,142,36,27,171,65,57,30,336,158,71100,San Jose,TRUE,51.84,0,5.18,0
15159,159,190,31,236,77,46,256,98,66,21,336,319,35406,San Jose,TRUE,70.75,0,5.94,0
15161,1106,1111,5,1140,34,29,1181,75,70,41,337,112,5673,Mountain View,TRUE,208.28,0,9.02,0
15162,1157,1164,7,1176,18,11,1219,61,54,43,337,89,101672,Mountain View,TRUE,212.15,6,27.6,0
15163,1027,1035,7,0,-1027,-1035,1173,146,139,1173,337,98,550,Mountain View,FALSE,245.38,0,10.73,35.67
15167,856,1064,208,1135,279,71,1165,309,101,30,337,114,1011,Mountain View,FALSE,253.1,0,33.25,0
15168,1002,1092,90,1094,92,2,1106,104,14,12,337,43,4092,Mountain View,FALSE,20.63,0,2,0
15174,1087,1092,5,1153,66,61,1182,95,91,29,337,111,8623,Mountain View,FALSE,16.26,0,0.81,0
15175,1117,1119,3,1137,20,17,1179,63,60,43,337,98,74371,Mountain View,TRUE,181.61,0,7.79,0
15177,985,1087,103,1104,119,16,1116,132,29,13,337,252,1126,Mountain View,FALSE,32.1,0,1.2,0
15182,1063,1063,0,1128,64,64,1143,79,79,15,337,98,550,Mountain View,FALSE,225.15,0,9.8,0
15184,1006,1051,45,0,-1006,-1051,1110,104,59,1110,337,26,7050,Mountain View,FALSE,123.36,0,10.24,0
15191,141,141,0,0,-141,-141,209,68,68,209,337,98,86895,Mountain View,TRUE,54.01,6,4.41,0
15192,1029,1086,57,1103,74,17,1132,103,46,29,337,220,2639,Mountain View,FALSE,131.62,0,11,0
15195,1130,1185,54,1190,60,5,1213,83,28,23,337,43,14593,Mountain View,TRUE,75.76,0,3.2,0
15201,1091,1141,50,1147,57,7,1163,72,22,16,337,50,78089,Mountain View,FALSE,20.57,0,2,0
15202,993,1037,44,1083,90,46,1108,115,71,25,337,266,1361,Mountain View,FALSE,35.91,0,1.37,0
15204,941,1073,131,1078,136,5,1106,164,33,28,337,264,900,Palo Alto,FALSE,27.64,0,1.38,0
15206,989,1033,44,1098,109,65,1123,134,90,25,337,109,550,Mountain View,FALSE,301.04,0,13.28,0
15207,69,89,20,116,47,27,131,62,43,15,337,240,9833,Mountain View,TRUE,44.5,0,1.77,0
15209,1139,1173,35,1192,54,19,1207,69,34,15,337,39,102334,Mountain View,TRUE,88.54,6,3.79,0
15212,1054,1084,30,1108,54,24,1124,70,40,16,337,87,8360,Mountain View,FALSE,51.57,0,5.16,0
15213,1085,1154,69,1160,75,6,1184,99,30,24,337,260,10108,Mountain View,FALSE,14.65,0,1.47,0
15215,1089,1093,4,1118,29,25,1159,70,66,41,337,87,4092,Mountain View,FALSE,84.13,0,3.59,24.41
15224,13,40,27,64,51,24,85,72,45,21,340,207,8443,Palo Alto,FALSE,55.16,0,5.52,0
15232,128,129,2,143,15,14,200,72,71,57,340,47,1357,Palo Alto,TRUE,52.11,0,2.12,0
15235,1008,1034,26,1109,101,75,1129,121,95,20,340,47,4429,Palo Alto,FALSE,163.54,0,13.93,0
15238,1056,1084,28,0,-1056,-1084,1139,83,55,1139,340,10,28845,Palo Alto,FALSE,107.04,0,4.64,0
15243,130,149,20,196,66,46,213,83,64,18,340,6,13831,Palo Alto,TRUE,31.5,0,1.58,0
15244,1011,1091,80,0,-1011,-1091,1161,150,69,1161,340,106,8076,Palo Alto,FALSE,392.41,0,15,0
15245,93,97,3,112,18,15,170,77,73,59,340,20,12210,Palo Alto,TRUE,44.49,0,1.76,0
15249,1100,1133,32,1150,49,17,1184,83,51,34,340,221,52243,Palo Alto,TRUE,11.38,0,0.24,0
15256,100,115,15,0,-100,-115,184,84,69,184,340,107,6102,Palo Alto,TRUE,48.9,0,6,0
15259,141,147,6,169,27,22,204,63,57,36,340,8,50635,Palo Alto,TRUE,24.49,0,0.85,0
15265,1132,1160,27,1168,36,8,1219,87,59,51,340,68,10196,Palo Alto,TRUE,89.04,0,7.63,0
15286,167,186,19,199,32,13,237,70,51,39,340,232,1783,Palo Alto,TRUE,51.08,0,2.55,0
15287,39,39,1,93,54,53,104,65,65,11,340,27,2490,Palo Alto,TRUE,68.86,0,2.89,0
15294,83,83,1,106,24,23,145,63,62,39,340,47,12737,Palo Alto,TRUE,46.18,0,5.54,0
15299,1071,1111,40,1121,51,11,1152,82,42,31,340,12,2446,Palo Alto,FALSE,38.08,0,4.42,0
